id,last_update,length,weight,last_move_datetime,stage_of_life,species,gender,longitude,latitude,CHL,IOP,Temp
1561597,2025-08-29T20:39:06.135692Z,9 ft. 7 in.,,2024-05-26 15:50:32+00:00,Sub-Adult,White Shark (Carcharodon carcharias),Male,-75.97948,34.56662,0.21953305038717633,0.016180129100367997,23.628421864841926
1561937,2025-08-29T20:39:16.804582Z,10 ft. 3 in.,,2024-12-22 16:26:09+00:00,Juvenile,White Shark (Carcharodon carcharias),Female,-80.08063,25.56734,0.21943211002961907,0.01615699559218636,23.628339179935896
2344827,2025-08-29T20:39:32.690156Z,10 ft.,,2025-04-09 10:32:28+00:00,Adult,Tiger Shark (Galeocerdo cuvier),Female,-64.36464,40.80992,0.2193882090371033,0.016147542556852176,23.628340793203048
2431093,2025-09-18T20:00:22.433200Z,11 ft. 2 in.,,2025-08-22 12:09:01+00:00,Adult,Tiger Shark (Galeocerdo cuvier),Female,-93.96011,28.80634,0.21933937717842997,0.01613738952553317,23.628364945875905
2431784,2025-10-04T11:00:21.993888Z,11 ft. 11 in.,,2025-09-30 11:31:58+00:00,Adult,Tiger Shark (Galeocerdo cuvier),Female,-88.10553,29.18545,0.21932641815182588,0.016134753635876985,23.62837497366151
2548468,2025-09-15T05:00:18.990542Z,9 ft. 8 in.,,2025-09-15 03:57:23+00:00,Adult,Dusky Shark (Carcharhinus obscurus),Female,-68.84899,40.79266,0.21933145429884207,0.016135775211995426,23.628370904445678
2790721,2025-10-04T02:00:21.221726Z,10 ft. 2 in.,,2025-09-29 15:10:12+00:00,Juvenile,White Shark (Carcharodon carcharias),Female,-62.10618,44.94326,0.21932669526372206,0.016134809756526945,23.628374744118883
2790722,2025-10-02T09:30:15.166599Z,12 ft. 10 in.,,2025-10-02 08:25:47+00:00,Adult,White Shark (Carcharodon carcharias),Male,-50.81563,44.48388,0.2193258079329737,0.016134630091729864,23.628375481433512
2803818,2025-10-04T04:00:17.160675Z,9 ft. 9 in.,,2025-10-04 02:45:30+00:00,Sub-Adult,White Shark (Carcharodon carcharias),Male,-66.29395,44.12991,0.21932523359309133,0.01613451385835827,23.62837596224148
2812382,2025-10-04T09:30:19.565703Z,10 ft. 3 in.,,2025-09-20 08:28:30+00:00,Juvenile,White Shark (Carcharodon carcharias),Female,-61.7015,44.6209,0.2193297402056381,0.01613542711582219,23.62837226504426
2832241,2025-08-29T20:36:56.810987Z,26 ft.,,2025-08-19 09:10:49+00:00,Adult,Whale Shark (Rhincodon typus),Male,-86.6193,21.588789,0.2193404365214919,0.016137606041855716,23.628364190695223
